# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /home/borg/elementos/Z01.1-Licia/Projetos/src/D-UnidadeLogicaAritmetica/src/exercicios/ula_PORTMAP.csv
# Generated on: Fri Jan 18 14:04:14 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
LEDR[0],Output,PIN_AA2,2A,B2A_N0,PIN_AB10,,,,,,,,,,,,,,
LEDR[1],Output,PIN_AA1,2A,B2A_N0,PIN_J17,,,,,,,,,,,,,,
LEDR[2],Output,PIN_W2,2A,B2A_N0,PIN_AA20,,,,,,,,,,,,,,
LEDR[3],Output,PIN_Y3,2A,B2A_N0,PIN_AB5,,,,,,,,,,,,,,
LEDR[4],Output,PIN_N2,2A,B2A_N0,PIN_B6,,,,,,,,,,,,,,
LEDR[5],Output,PIN_N1,2A,B2A_N0,PIN_C2,,,,,,,,,,,,,,
LEDR[6],Output,PIN_U2,2A,B2A_N0,PIN_E7,,,,,,,,,,,,,,
LEDR[7],Output,PIN_U1,2A,B2A_N0,PIN_G16,,,,,,,,,,,,,,
LEDR[8],Output,PIN_L2,2A,B2A_N0,PIN_G12,,,,,,,,,,,,,,
LEDR[9],Output,PIN_L1,2A,B2A_N0,PIN_G13,,,,,,,,,,,,,,
SW[0],Input,PIN_U13,4A,B4A_N0,PIN_B7,,,,,,,,,,,,,,
SW[1],Input,PIN_V13,4A,B4A_N0,PIN_K9,,,,,,,,,,,,,,
SW[2],Input,PIN_T13,4A,B4A_N0,PIN_M16,,,,,,,,,,,,,,
SW[3],Input,PIN_T12,4A,B4A_N0,PIN_U6,,,,,,,,,,,,,,
SW[4],Input,PIN_AA15,4A,B4A_N0,PIN_C6,,,,,,,,,,,,,,
SW[5],Input,PIN_AB15,4A,B4A_N0,PIN_H11,,,,,,,,,,,,,,
SW[6],Input,PIN_AA14,4A,B4A_N0,PIN_AB20,,,,,,,,,,,,,,
SW[7],Input,PIN_AA13,4A,B4A_N0,PIN_L1,,,,,,,,,,,,,,
SW[8],Input,PIN_AB13,4A,B4A_N0,PIN_A9,,,,,,,,,,,,,,
SW[9],Input,PIN_AB12,4A,B4A_N0,PIN_T12,,,,,,,,,,,,,,
